age,bigram_frequency,concreteness,correct,diversity,word_freq,initial,letters,response_time,sex,subject,item,trans_prob
21,,,1,,,steam,5,428,1,16,amibe,0
21,,,1,,,subject,4,428,1,18,arls,0
20,0,2.31,1,0,5780,ribbed,7,428,1,19,absence,0
21,12,2.12,1,220,117138,black,5,428,1,22,after,0.003132404
21,0,2.71,1,0,3597,opulent,5,428,1,22,abuse,0
21,,,1,,,manage,4,428,1,22,acth,0.016881827
22,,,1,,,advance,6,428,0,31,ashluk,0
20,20,3.33,1,199,25748,face,5,428,1,6,above,0.000343073
20,,,1,,,connection,5,429,0,13,aunde,0
20,,,1,,,steam,5,429,0,13,amibe,0
21,,,1,,,art,5,429,1,14,ainde,0
21,,,1,,,recent,5,429,1,16,aived,0
20,0,2.86,1,0,22099,xylophone,6,429,1,29,action,0
20,,,1,,,speech,4,429,1,29,atru,0
19,,,1,,,project,6,429,0,5,ainged,0
20,0,2.73,1,0,10437,ley,6,429,1,8,advice,0
21,22,1.8,1,240,56208,white,7,430,1,10,against,0.000814531
21,,,1,,,bed,8,430,1,10,aughntch,0
19,0,2.38,1,0,30410,yonder,4,430,0,11,able,0
21,10,4.4,1,252,5078,large,5,430,1,15,adult,0.000444168
21,,,1,,,involved,5,430,1,16,arned,0
21,0,2.45,1,0,3304,sable,6,430,0,2,affair,0
21,,,1,,,easter,5,430,0,2,aroit,0
20,,,1,,,tank,6,430,1,29,aruild,0
20,,,1,,,manage,4,430,0,32,acth,0.016881827
20,0,3.14,1,0,4254,habitat,5,430,0,7,alive,0
20,0,2.46,1,0,27467,elixir,3,430,1,8,act,0
21,0,2.27,1,0,262447,warren,3,431,1,10,all,0
22,11,2.74,1,109,15429,extra,6,431,1,12,amount,0.00199078
20,,alemn,1,,,laminate,0,431,0,13,,0.010085729
22,,,1,,,coding,4,431,0,17,ance,0
21,20,3.33,1,199,25748,face,5,431,0,2,above,0.000343073
21,0,2.71,1,0,3597,opulent,5,431,0,2,abuse,0
21,,,1,,,market,5,431,0,2,awhus,0
20,,,1,,,ways,6,431,1,25,almbed,0
19,103,2.73,1,111,10437,offer,6,431,1,26,advice,0.001386001
19,0,2.86,1,0,21857,jink,3,431,1,26,age,0
22,0,4.11,1,0,19076,exclaim,3,431,1,28,air,0
20,14,2.27,1,295,262447,big,3,431,1,29,all,0.00121179
20,,,1,,,yearly,4,431,1,29,aoll,0
19,153,2.31,1,1375,5780,their,7,431,1,3,absence,0.0000422
22,,,1,,,art,5,431,0,31,ainde,0
20,,,1,,,razor,6,431,0,4,akrath,0
20,,,1,,,sheet,5,431,0,7,armth,0
22,24,2.46,1,342,27467,every,3,432,1,12,act,0.000772355
21,10,3.48,1,103,1637,natural,6,432,1,14,allies,0.015857492
20,,,1,,,yearly,4,432,1,25,aoll,0
19,281,1.52,1,143,2682878,few,3,432,1,3,and,0.001304734
20,0,2.71,1,0,10940,taxes,6,432,1,30,access,0
22,,,1,,,group,4,432,0,31,aizo,0
20,0,2.73,1,0,10437,ley,6,432,0,4,advice,0
20,,,1,,,course,7,432,1,8,aughthe,0
21,131,2.45,1,289,3304,whole,6,433,1,18,affair,0.000535834
19,59,2.86,1,102,21857,modern,3,433,1,26,age,0.000758725
19,0,3.14,1,0,4254,habitat,5,433,1,9,alive,0
20,14,2.27,1,295,262447,big,3,434,1,1,all,0.00121179
22,0,3.32,1,0,7290,wicket,6,434,0,17,active,0
21,0,2.12,1,0,117138,trellis,5,434,1,18,after,0
21,,,1,,,hugs,4,434,0,2,aths,0
19,35,3.08,1,750,15891,our,7,434,0,23,account,0.000336821
19,,,1,,,raw,5,434,0,23,aiced,0
20,0,2.38,1,0,30410,yonder,4,434,1,6,able,0
20,,,1,,,girl,5,434,1,6,anzed,0
19,59,2.86,1,102,21857,modern,3,435,0,11,age,0.000758725
20,,,1,,,tank,6,435,0,13,aruild,0
21,25,2.86,1,155,22099,common,6,435,1,18,action,0.000712368
20,,,1,,,comes,4,435,1,25,alve,0
20,,,1,,,lead,5,435,1,25,aized,0
19,0,1.57,1,0,1159,nemesis,6,435,1,27,accord,0
20,,,1,,,forward,6,435,1,29,arthed,0
20,,,1,,,comes,4,435,1,8,alve,0
19,,,1,,,please,5,436,0,11,alned,0
20,281,1.52,1,143,2682878,few,3,436,0,13,and,0.001304734
